2023-06-26 13:38:31.3170 INFO  1 |  | DesktopInterface.Ui.Run                            | Desktop Interface version [6.0.23.3].
2023-06-26 13:38:31.3639 INFO  1 | 02f48cce-132f-4185-b07b-be782f545f2e | DesktopInterface.Ui.Run                            | Working directory set to [C:\SafeQ6\FSP_6_23_1\Service\Spooler 6.0.23.3\DesktopInterface].
2023-06-26 13:38:31.3639 INFO  1 | 02f48cce-132f-4185-b07b-be782f545f2e | DesktopInterface.Ui.Run                            | System encoding set to [Windows-1252].
2023-06-26 13:38:31.3795 INFO  1 | 02f48cce-132f-4185-b07b-be782f545f2e | DesktopInterface.Ui.Run                            | Running under .NET Framework runtime version [4.0.30319.42000].
2023-06-26 13:38:31.3795 INFO  1 | 02f48cce-132f-4185-b07b-be782f545f2e | DesktopInterface.Ui.Run                            | Running as [64bit] process.
2023-06-26 13:38:31.3795 DEBUG 1 | 02f48cce-132f-4185-b07b-be782f545f2e | DesktopInterface.LockFile.LockFileService.CreateLo | Access lock on file [C:\Users\ctyiweb\.safeq6\YSoftSafeQDesktopInterface.lock] for PID [10384] successfully obtained.
2023-06-26 13:38:31.4420 INFO  1 | 02f48cce-132f-4185-b07b-be782f545f2e | DesktopInterface.Ui.InitializeWpfApplication       | Initializing Desktop Interface on WPF framework.
2023-06-26 13:38:31.4733 DEBUG 1 | 02f48cce-132f-4185-b07b-be782f545f2e | DesktopInterface.Ui.BootstrapContainer             | Configuring and installing Castle Windsor.
2023-06-26 13:38:31.6608 DEBUG 1 | 02f48cce-132f-4185-b07b-be782f545f2e | Configuration.ConfigurationProvider.InitializeLoca | Initializating configuration.
2023-06-26 13:38:31.6764 DEBUG 1 | 02f48cce-132f-4185-b07b-be782f545f2e | Configuration.ConfigurationProvider.GetLocalConfig | Deserializing local configuration.
2023-06-26 13:38:31.9733 INFO  1 | 02f48cce-132f-4185-b07b-be782f545f2e | Ymq.Ymq..ctor                                      | Ymq version 1.2.2.113 initialized with settings [LocalPeerName=[AD\ctyiweb], LocalPeerType=[Client], Security=[Plain], ConnectionAttemptTimeout=[00:02:00], GoodbyeTimeout=[00:00:02]].
2023-06-26 13:38:31.9733 INFO  1 | 02f48cce-132f-4185-b07b-be782f545f2e | Ymq.Ymq.LogUsedPackages                            | Used assemblies:
2023-06-26 13:38:31.9733 INFO  1 | 02f48cce-132f-4185-b07b-be782f545f2e | Ymq.Ymq.LogUsedPackages                            | mscorlib 4.0.0.0
2023-06-26 13:38:31.9889 INFO  1 | 02f48cce-132f-4185-b07b-be782f545f2e | Ymq.Ymq.LogUsedPackages                            | System 4.0.0.0
