2023-07-11 10:17:23.4925 INFO  1 |  | DesktopInterface.Ui.Run                            | Desktop Interface version [6.0.23.3].
2023-07-11 10:17:34.9076 INFO  1 | 65685ebb-3310-489e-99d0-2cb7db9decea | DesktopInterface.Ui.Run                            | Working directory set to [C:\SafeQ6\FSP_6_23_1\Service\Spooler 6.0.23.3\DesktopInterface].
2023-07-11 10:17:35.0097 INFO  1 | 65685ebb-3310-489e-99d0-2cb7db9decea | DesktopInterface.Ui.Run                            | System encoding set to [Windows-1252].
2023-07-11 10:17:35.0253 INFO  1 | 65685ebb-3310-489e-99d0-2cb7db9decea | DesktopInterface.Ui.Run                            | Running under .NET Framework runtime version [4.0.30319.42000].
2023-07-11 10:17:35.0630 INFO  1 | 65685ebb-3310-489e-99d0-2cb7db9decea | DesktopInterface.Ui.Run                            | Running as [64bit] process.
2023-07-11 10:17:35.1495 DEBUG 1 | 65685ebb-3310-489e-99d0-2cb7db9decea | DesktopInterface.LockFile.LockFileService.CreateLo | Access lock on file [C:\Users\ctyiweb\.safeq6\YSoftSafeQDesktopInterface.lock] for PID [21048] successfully obtained.
2023-07-11 10:17:43.8080 INFO  1 | 65685ebb-3310-489e-99d0-2cb7db9decea | DesktopInterface.Ui.InitializeWpfApplication       | Initializing Desktop Interface on WPF framework.
2023-07-11 10:17:48.7557 DEBUG 1 | 65685ebb-3310-489e-99d0-2cb7db9decea | DesktopInterface.Ui.BootstrapContainer             | Configuring and installing Castle Windsor.
2023-07-11 10:18:06.1582 DEBUG 1 | 65685ebb-3310-489e-99d0-2cb7db9decea | Configuration.ConfigurationProvider.InitializeLoca | Initializating configuration.
2023-07-11 10:18:06.2519 DEBUG 1 | 65685ebb-3310-489e-99d0-2cb7db9decea | Configuration.ConfigurationProvider.GetLocalConfig | Deserializing local configuration.
2023-07-11 10:18:28.6488 INFO  1 | 65685ebb-3310-489e-99d0-2cb7db9decea | Ymq.Ymq..ctor                                      | Ymq version 1.2.2.113 initialized with settings [LocalPeerName=[AD\ctyiweb], LocalPeerType=[Client], Security=[Plain], ConnectionAttemptTimeout=[00:02:00], GoodbyeTimeout=[00:00:02]].
2023-07-11 10:18:28.6488 INFO  1 | 65685ebb-3310-489e-99d0-2cb7db9decea | Ymq.Ymq.LogUsedPackages                            | Used assemblies:
2023-07-11 10:18:28.6644 INFO  1 | 65685ebb-3310-489e-99d0-2cb7db9decea | Ymq.Ymq.LogUsedPackages                            | mscorlib 4.0.0.0
2023-07-11 10:18:28.6644 INFO  1 | 65685ebb-3310-489e-99d0-2cb7db9decea | Ymq.Ymq.LogUsedPackages                            | System 4.0.0.0
2023-07-11 10:18:28.6644 INFO  1 | 65685ebb-3310-489e-99d0-2cb7db9decea | Ymq.Ymq.LogUsedPackages                            | BouncyCastle.Crypto 1.8.1.0
2023-07-11 10:18:28.6644 INFO  1 | 65685ebb-3310-489e-99d0-2cb7db9decea | Ymq.Ymq.LogUsedPackages                            | NLog 4.0.0.0
2023-07-11 10:18:28.6644 INFO  1 | 65685ebb-3310-489e-99d0-2cb7db9decea | Ymq.Ymq.LogUsedPackages                            | Newtonsoft.Json 9.0.0.0
2023-07-11 10:18:28.6644 INFO  1 | 65685ebb-3310-489e-99d0-2cb7db9decea | Ymq.Ymq.LogUsedPackages                            | System.Core 4.0.0.0
2023-07-11 10:18:28.6800 INFO  1 | 65685ebb-3310-489e-99d0-2cb7db9decea | Ymq.Ymq.LogUsedPackages                            | NetMQ 3.3.3.4
2023-07-11 10:18:34.9276 DEBUG 1 | 65685ebb-3310-489e-99d0-2cb7db9decea | Configuration.LocationConfiguration.set_CurrentLoc | Current location id changed to [].
2023-07-11 10:18:35.4583 INFO  1 | 65685ebb-3310-489e-99d0-2cb7db9decea | Castle.MicroKernel.ComponentActivator.DefaultCompo | Locations loaded. [Location: current name: [], locations: [[, Addresses: [136.206.3.28,136.206.3.30, Spooling: [False]]]].
2023-07-11 10:18:43.5385 DEBUG 1 | 65685ebb-3310-489e-99d0-2cb7db9decea | DesktopInterface.UiService.RegisterServices        | Registering services.
2023-07-11 10:18:43.9243 DEBUG 1 | 65685ebb-3310-489e-99d0-2cb7db9decea | DesktopInterface.SpoolerProxy.Start                | Connecting to Spooler.
2023-07-11 10:18:44.9963 DEBUG 1 | 65685ebb-3310-489e-99d0-2cb7db9decea | Ymq.Client.TryConnect                              | Client [AD\ctyiweb] is trying to connect to [tcp://127.0.0.1:5558].
2023-07-11 10:20:48.1242 DEBUG 4 | 65685ebb-3310-489e-99d0-2cb7db9decea | Ymq.Session.Dispose                                | [peer [tcp://127.0.0.1:5558]] Session ending, goodbye message [Connection attempt timed out.] sent.
2023-07-11 10:22:49.9543 DEBUG 5 | 65685ebb-3310-489e-99d0-2cb7db9decea | Ymq.Session.Dispose                                | [peer [tcp://127.0.0.1:5558]] Session ending, goodbye message [Connection attempt timed out.] sent.
2023-07-11 10:24:49.9975 DEBUG 4 | 65685ebb-3310-489e-99d0-2cb7db9decea | Ymq.Session.Dispose                                | [peer [tcp://127.0.0.1:5558]] Session ending, goodbye message [Connection attempt timed out.] sent.
2023-07-11 10:26:50.0062 DEBUG 4 | 65685ebb-3310-489e-99d0-2cb7db9decea | Ymq.Session.Dispose                                | [peer [tcp://127.0.0.1:5558]] Session ending, goodbye message [Connection attempt timed out.] sent.
2023-07-11 10:28:50.1168 DEBUG 5 | 65685ebb-3310-489e-99d0-2cb7db9decea | Ymq.Session.Dispose                                | [peer [tcp://127.0.0.1:5558]] Session ending, goodbye message [Connection attempt timed out.] sent.
2023-07-11 10:30:50.1263 DEBUG 11| 65685ebb-3310-489e-99d0-2cb7db9decea | Ymq.Session.Dispose                                | [peer [tcp://127.0.0.1:5558]] Session ending, goodbye message [Connection attempt timed out.] sent.
2023-07-11 10:32:50.1434 DEBUG 4 | 65685ebb-3310-489e-99d0-2cb7db9decea | Ymq.Session.Dispose                                | [peer [tcp://127.0.0.1:5558]] Session ending, goodbye message [Connection attempt timed out.] sent.
2023-07-11 10:34:50.1691 DEBUG 4 | 65685ebb-3310-489e-99d0-2cb7db9decea | Ymq.Session.Dispose                                | [peer [tcp://127.0.0.1:5558]] Session ending, goodbye message [Connection attempt timed out.] sent.
2023-07-11 10:36:50.2042 DEBUG 4 | 65685ebb-3310-489e-99d0-2cb7db9decea | Ymq.Session.Dispose                                | [peer [tcp://127.0.0.1:5558]] Session ending, goodbye message [Connection attempt timed out.] sent.
